topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
topic1,app1,AN,0.886607461893623,230,0.0,0,0,0.01,-1,0,dropVS1,1000,260,200,Medium-load
topic1,app3,AN,0.898990510874175,230,0.0,0,0,0.01,-1,0,dropVS1,1000,260,200,Medium-load
topic1,app5,RT,0.897614616543859,230,0.0,0,0,0.01,-1,0,dropVS1,1000,260,200,Medium-load
topic1,app7,RT,0.870096729917689,230,0.0,0,0,0.01,-1,0,dropVS1,1000,260,200,Medium-load
topic10,app11,TS,0.684318823773316,230,0.0,0,0,0.01,-1,0,dropVS1,1000,200,1000,Medium-load
topic10,app9,TS,0.671832085974484,230,0.0,0,0,0.01,-1,0,dropVS1,1000,200,1000,Medium-load
topic11,app12,TS,0.78974566303907,230,0.0,0,0,0.01,-1,0,dropVS1,1000,300,20480,Medium-load
topic11,app15,VS,0.791999867408999,230,0.0,0,0,0.01,-1,0,dropVS1,1000,300,20480,Medium-load
topic11,app8,RT,0.788891933006133,230,0.0,0,0,0.01,-1,0,dropVS1,1000,300,20480,Medium-load
topic12,app10,TS,0.798903343564998,230,0.0,0,0,0.01,-1,0,dropVS1,1000,330,500,Medium-load
topic12,app2,AN,0.793686859475486,230,0.0,0,0,0.01,-1,0,dropVS1,1000,330,500,Medium-load
topic12,app9,TS,0.802078594749639,230,0.0,0,0,0.01,-1,0,dropVS1,1000,330,500,Medium-load
topic13,app10,TS,0.789247034874837,230,0.0,0,0,0.01,-1,0,dropVS1,1000,310,6000,Medium-load
topic13,app11,TS,0.791318321925384,230,0.0,0,0,0.01,-1,0,dropVS1,1000,310,6000,Medium-load
topic13,app12,TS,0.793398120399228,230,0.0,0,0,0.01,-1,0,dropVS1,1000,310,6000,Medium-load
topic14,app1,AN,0.900869236478073,230,0.0,0,0,0.01,-1,0,dropVS1,1000,40,20480,Medium-load
topic14,app13,VS,0.891418265226909,230,0.0,0,0,0.01,-1,0,dropVS1,1000,40,20480,Medium-load
topic14,app16,VS,0.913338384573919,230,0.0,0,0,0.01,-1,0,dropVS1,1000,40,20480,Medium-load
topic14,app5,RT,0.897346389319998,230,0.0,0,0,0.01,-1,0,dropVS1,1000,40,20480,Medium-load
topic15,app15,VS,0.673775872900266,230,0.0,0,0,0.01,-1,0,dropVS1,1000,60,20480,Medium-load
