topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
firedetection,app30,RT,18.24391672805932,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
smartthings,app1,AN,17.04497604672567,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
smartthings,app3,AN,16.3538407368457,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
smartthings,app8,AN,17.180787562765527,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
smartthings,app11,TS,16.96824505302596,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
smartthings,app14,TS,17.410484954185378,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
printing,app11,TS,17.309611059446173,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app13,TS,16.876703610299312,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app12,TS,17.0786222886331,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app15,TS,16.801113949765856,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app14,TS,17.230881298953353,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app17,TS,17.011100440960956,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app16,TS,17.166766750975178,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
videosurveillance,app37,VS,18.440681927568946,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
bms,app107,EM,18.30862468236661,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
videosurveillance,app36,VS,18.62772537717069,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
intrusiondetection,app2,AN,17.252541526428686,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
intrusiondetection,app6,AN,17.15429004344589,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
printing,app2,AN,16.93867366249526,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app5,AN,17.063933290043124,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
printing,app4,AN,17.273990762952756,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
videosurveillance,app38,VS,18.41922002796081,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
firedetection,app29,RT,18.529784635481903,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app27,RT,18.1386882051206,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app25,RT,18.37483153381757,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app23,RT,18.23633098128219,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app22,RT,17.957495464232533,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
amazonecho,app14,TS,17.806610404598715,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
videosurveillance,app46,VS,18.27410490937737,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
firedetection,app106,EM,18.81135518715958,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app105,EM,18.699337668772984,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
firedetection,app104,EM,18.98484451862589,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
bms,app8,AN,17.92562419789127,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
amazonecho,app27,RT,17.14426736069878,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
intrusiondetection,app36,VS,17.165028427462474,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
firedetection,app31,RT,17.953794312332544,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
amazonecho,app21,RT,16.92634586168315,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
energymanagement,app3,AN,17.138167080145134,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app2,AN,17.423144945135245,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app1,AN,17.20176329063353,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app7,AN,17.154111820730712,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app6,AN,17.13824550427901,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app5,AN,17.11100867570037,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app4,AN,16.916612326098694,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
videosurveillance,app39,VS,18.49026879760909,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
energymanagement,app8,AN,17.230024141676257,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app27,RT,17.32487801420017,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app24,RT,17.086558628584577,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
videosurveillance,app7,AN,18.441243678181124,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
smartthings,app28,RT,17.10478262051735,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
intrusiondetection,app24,RT,17.19769090546299,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
intrusiondetection,app21,RT,17.17929393587486,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
occupancymanagement,app109,EM,17.89350442824346,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
amazonecho,app32,RT,17.81442976209138,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
videosurveillance,app26,RT,18.458767244214595,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
videosurveillance,app103,EM,19.04946857689287,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
energymanagement,app30,RT,17.151377017694507,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
energymanagement,app32,RT,17.07680176062509,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
intrusiondetection,app41,VS,17.164570379367536,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
intrusiondetection,app40,VS,17.1791875991654,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
intrusiondetection,app47,VS,17.16237534652152,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
intrusiondetection,app45,VS,17.20601559602606,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,overload
bms,app108,EM,18.360497068523355,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
amazonecho,app5,AN,17.401597880631,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
printing,app18,TS,16.981787879985497,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,overload
amazonecho,app8,AN,16.998563774472846,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
occupancymanagement,app44,VS,17.349234877707932,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
occupancymanagement,app42,VS,17.52005435641253,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
occupancymanagement,app43,VS,17.184298134234385,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
smartthings,app21,RT,17.094282325965192,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,overload
bms,app30,RT,17.880396381146777,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
energymanagement,app12,TS,17.235957145027385,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,overload
occupancymanagement,app21,RT,16.823371113593986,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
amazonecho,app30,RT,17.158924144979874,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
bms,app27,RT,17.791350944018543,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
occupancymanagement,app8,AN,17.181428553268244,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
bms,app2,AN,17.878243274899177,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
bms,app1,AN,17.83639339694621,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
videosurveillance,app4,AN,18.55700377400848,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
occupancymanagement,app5,AN,17.26448665649542,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
firedetection,app7,AN,18.95543764509503,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
videosurveillance,app102,EM,19.069200428522677,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
firedetection,app1,AN,18.54373131011789,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,overload
videosurveillance,app100,EM,19.062226368015864,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
videosurveillance,app101,EM,19.049731829843736,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,overload
occupancymanagement,app17,TS,17.21375304155345,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
occupancymanagement,app12,TS,17.011672164574012,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,overload
amazonecho,app7,AN,17.418733138262276,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,overload
bms,app17,TS,17.813790054263556,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
bms,app12,TS,17.87880210055549,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,overload
firedetection,app30,RT,4.362920875270902,650,0.0,0.0,0,0.0,100,1,prioEMRTVSTSAN,1000,1,191693.0,overload
smartthings,app1,AN,55.88076677945136,650,0.0,0.0,0,0.0,100,4,prioEMRTVSTSAN,1000,1,205264.41,overload
smartthings,app3,AN,56.22032703565804,650,0.0,0.0,0,0.0,100,4,prioEMRTVSTSAN,1000,1,205264.41,overload
smartthings,app8,AN,56.32904870638118,650,0.0,0.0,0,0.0,100,4,prioEMRTVSTSAN,1000,1,205264.41,overload
smartthings,app11,TS,5.5135310045997725,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,205264.41,overload
smartthings,app14,TS,5.242156945351116,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,205264.41,overload
printing,app11,TS,4.204998420648304,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,624394.2,overload
printing,app13,TS,4.951097456017439,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,624394.2,overload
printing,app12,TS,4.086144010509564,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,624394.2,overload
printing,app15,TS,4.601380103821176,650,0.0,0.0,0,0.0,100,3,prioEMRTVSTSAN,1000,1,624394.2,overload
