topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
amazonecho,app14,TS,1.0831468933042547,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,60
amazonecho,app21,RT,1.1153813255380425,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,60
amazonecho,app27,RT,1.190490209897893,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,60
amazonecho,app3,AN,1.1285681387249755,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,60
amazonecho,app5,AN,1.0919381020952814,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,60
bms,app12,TS,1.2910258035988604,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,60
bms,app1,AN,1.2897826324139372,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,60
bms,app21,RT,1.2917931852556797,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,60
bms,app27,RT,1.2919688509361518,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,60
bms,app2,AN,1.293046315845863,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,60
energymanagement,app12,TS,1.4111618893750375,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app1,AN,1.414390284769652,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app24,RT,1.409870432117465,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app27,RT,1.4146781244250617,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app2,AN,1.414698156476341,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app3,AN,1.4162135156989248,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app4,AN,1.4147320823819594,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app5,AN,1.424972107684215,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
energymanagement,app6,AN,1.4139905578462044,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,60
firedetection,app1,AN,1.2947047562731595,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
firedetection,app22,RT,1.2986773095414494,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
firedetection,app23,RT,1.3037332864283595,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
firedetection,app25,RT,1.3189012170892127,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
firedetection,app27,RT,1.3080669809029293,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
firedetection,app29,RT,1.297232744716567,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,60
intrusiondetection,app21,RT,1.3436039693134298,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,60
intrusiondetection,app24,RT,1.3454325137787009,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,60
intrusiondetection,app2,AN,1.3431213307767442,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,60
