topic,app,applicationCategory,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case,latency
amazonecho,app14,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app21,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app27,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app30,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app32,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app5,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app7,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
amazonecho,app8,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,105869.28,80,
bms,app12,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app17,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app1,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app27,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app2,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app30,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
bms,app8,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,16091324.56,80,
energymanagement,app12,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,3324693.6,80,
energymanagement,app1,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,3324693.6,80,
energymanagement,app24,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,3324693.6,80,
